Trial,TraderTypes,TotalProfit
trial0211,MarketMaker,3224.0
trial0211,ZIC,987.0
trial0212,MarketMaker,3194.0
trial0212,ZIC,637.0
trial0213,MarketMaker,3771.0
trial0213,ZIC,538.0
trial0214,MarketMaker,2853.0
trial0214,ZIC,1000.0
trial0215,MarketMaker,2278.0
trial0215,ZIC,1059.0
trial0216,MarketMaker,3285.0
trial0216,ZIC,314.0
trial0217,MarketMaker,2860.0
trial0217,ZIC,1780.0
trial0218,MarketMaker,2505.0
trial0218,ZIC,1373.0
trial0219,MarketMaker,2082.0
trial0219,ZIC,1263.0
trial0220,MarketMaker,2837.0
trial0220,ZIC,842.0
trial0221,MarketMaker,2989.0
trial0221,ZIC,729.0
trial0222,MarketMaker,2732.0
trial0222,ZIC,494.0
trial0223,MarketMaker,3169.0
trial0223,ZIC,568.0
trial0224,MarketMaker,2303.0
trial0224,ZIC,1180.0
trial0225,MarketMaker,2177.0
trial0225,ZIC,644.0
trial0226,MarketMaker,2180.0
trial0226,ZIC,929.0
trial0227,MarketMaker,2622.0
trial0227,ZIC,804.0
trial0228,MarketMaker,2012.0
trial0228,ZIC,1498.0
trial0229,MarketMaker,3037.0
trial0229,ZIC,599.0
trial0230,MarketMaker,3486.0
trial0230,ZIC,805.0
trial0231,MarketMaker,2880.0
trial0231,ZIC,1440.0
trial0232,MarketMaker,3294.0
trial0232,ZIC,361.0
trial0233,MarketMaker,2564.0
trial0233,ZIC,815.0
trial0234,MarketMaker,2432.0
trial0234,ZIC,1341.0
trial0235,MarketMaker,3297.0
trial0235,ZIC,1005.0
trial0236,MarketMaker,2543.0
trial0236,ZIC,1212.0
trial0237,MarketMaker,2640.0
trial0237,ZIC,540.0
trial0238,MarketMaker,2177.0
trial0238,ZIC,1000.0
trial0239,MarketMaker,2667.0
trial0239,ZIC,806.0
trial0240,MarketMaker,2772.0
trial0240,ZIC,650.0
trial0241,MarketMaker,2282.0
trial0241,ZIC,874.0
trial0242,MarketMaker,2697.0
trial0242,ZIC,1178.0
trial0243,MarketMaker,2703.0
trial0243,ZIC,1286.0
trial0244,MarketMaker,3106.0
trial0244,ZIC,1062.0
trial0245,MarketMaker,2275.0
trial0245,ZIC,944.0
trial0246,MarketMaker,2571.0
trial0246,ZIC,731.0
trial0247,MarketMaker,2881.0
trial0247,ZIC,406.0
trial0248,MarketMaker,2554.0
trial0248,ZIC,794.0
trial0249,MarketMaker,2711.0
trial0249,ZIC,737.0
trial0250,MarketMaker,3130.0
trial0250,ZIC,1150.0
trial0251,MarketMaker,2990.0
trial0251,ZIC,978.0
trial0252,MarketMaker,2610.0
trial0252,ZIC,1092.0
trial0253,MarketMaker,4046.0
trial0253,ZIC,746.0
trial0254,MarketMaker,2538.0
trial0254,ZIC,649.0
trial0255,MarketMaker,3448.0
trial0255,ZIC,792.0
trial0256,MarketMaker,3847.0
trial0256,ZIC,684.0
trial0257,MarketMaker,2700.0
trial0257,ZIC,469.0
trial0258,MarketMaker,2246.0
trial0258,ZIC,999.0
trial0259,MarketMaker,2802.0
trial0259,ZIC,604.0
trial0260,MarketMaker,2639.0
trial0260,ZIC,439.0
trial0261,MarketMaker,2312.0
trial0261,ZIC,1051.0
trial0262,MarketMaker,3091.0
trial0262,ZIC,1017.0
trial0263,MarketMaker,2539.0
trial0263,ZIC,789.0
trial0264,MarketMaker,3228.0
trial0264,ZIC,737.0
trial0265,MarketMaker,2520.0
trial0265,ZIC,928.0
trial0266,MarketMaker,2959.0
trial0266,ZIC,583.0
trial0267,MarketMaker,2988.0
trial0267,ZIC,828.0
trial0268,MarketMaker,2853.0
trial0268,ZIC,635.0
trial0269,MarketMaker,3012.0
trial0269,ZIC,1380.0
trial0270,MarketMaker,3404.0
trial0270,ZIC,1034.0
trial0271,MarketMaker,3469.0
trial0271,ZIC,959.0
trial0272,MarketMaker,3168.0
trial0272,ZIC,1092.0
trial0273,MarketMaker,2497.0
trial0273,ZIC,1016.0
trial0274,MarketMaker,2634.0
trial0274,ZIC,928.0
trial0275,MarketMaker,2934.0
trial0275,ZIC,1074.0
trial0276,MarketMaker,3338.0
trial0276,ZIC,1136.0
trial0277,MarketMaker,2538.0
trial0277,ZIC,866.0
trial0278,MarketMaker,3039.0
trial0278,ZIC,833.0
trial0279,MarketMaker,2160.0
trial0279,ZIC,882.0
trial0280,MarketMaker,1742.0
trial0280,ZIC,1008.0
trial0281,MarketMaker,1944.0
trial0281,ZIC,818.0
trial0282,MarketMaker,2607.0
trial0282,ZIC,952.0
trial0283,MarketMaker,2614.0
trial0283,ZIC,812.0
trial0284,MarketMaker,3560.0
trial0284,ZIC,920.0
trial0285,MarketMaker,2802.0
trial0285,ZIC,1293.0
trial0286,MarketMaker,3320.0
trial0286,ZIC,813.0
trial0287,MarketMaker,2569.0
trial0287,ZIC,1236.0
trial0288,MarketMaker,3111.0
trial0288,ZIC,368.0
trial0289,MarketMaker,2961.0
trial0289,ZIC,1129.0
trial0290,MarketMaker,2772.0
trial0290,ZIC,1187.0
trial0291,MarketMaker,2954.0
trial0291,ZIC,1172.0
trial0292,MarketMaker,3302.0
trial0292,ZIC,877.0
trial0293,MarketMaker,2851.0
trial0293,ZIC,622.0
trial0294,MarketMaker,3039.0
